Ref,Val,Package,PosX,PosY,Rot,Side
"U4","MP9943GQ-Z","QFN-8_MP9943_MNP",181.160000,-79.035001,180.000000,bottom
"U6","ICM-42688-P","PQFN50P300X250X97-14N",172.600000,-71.665000,0.000000,bottom
"U9","MP9943GQ-Z","QFN-8_MP9943_MNP",167.190000,-79.165001,180.000000,bottom
"U11","AP7361C-33FGE-7","SON65P300X300X63-9N",180.325000,-59.090000,90.000000,bottom
"Y1","ABM8-27.000MHZ-B2-T","XTAL_ABM8-27.000MHZ-B2-T",160.040000,-71.125000,-90.000000,bottom
"","","",185.500000,-85.000000,0.000000,top
"","","",185.500000,-54.500000,0.000000,top
"","","",155.000000,-85.000000,0.000000,top
"AT1","2450AT43B100E","ANTENNA_2450AT43B100E",192.040000,-61.030000,-90.000000,top
"C11","100nF","C_0402_1005Metric",177.275000,-84.350000,0.000000,top
"C28","100nF","C_0402_1005Metric",179.775000,-81.700000,-90.000000,top
"C29","100nF","C_0402_1005Metric",169.450000,-58.285000,90.000000,top
"C32","100nF","C_0402_1005Metric",163.495000,-79.040000,90.000000,top
"C33","10nF","C_0402_1005Metric",187.925000,-66.100000,-90.000000,top
"C34","1uF","C_0402_1005Metric",186.965000,-66.100000,-90.000000,top
"C35","100nF","C_0402_1005Metric",180.155000,-59.660000,180.000000,top
"C36","100nF","C_0402_1005Metric",180.155000,-58.690000,180.000000,top
"C37","10uF","C_0805_2012Metric",186.975000,-57.900000,0.000000,top
"C38","100nF","C_0402_1005Metric",188.357500,-60.750000,0.000000,top
"C39","1uF","C_0402_1005Metric",164.453500,-79.040000,90.000000,top
"D1","LED2","LED_0805_2012Metric",182.300000,-76.100000,90.000000,top
"D2","LED3","LED_0805_2012Metric",185.340000,-76.100000,90.000000,top
"D3","LED4","LED_0805_2012Metric",182.300000,-79.500000,-90.000000,top
"D4","LED1","LED_0805_2012Metric",185.360000,-79.500000,-90.000000,top
"D7","KT-0603R","LED_KT-0603R",164.525000,-77.450000,0.000000,top
"F2","MICROASMD010F-2","FUSE_MICROASMD010F_LTF",160.700000,-78.575000,0.000000,top
"J2","USB4940-00-A_REVA","GCT_USB4940-00-A_REVA",156.590000,-69.770000,-90.000000,top
"L3","1.8nH","L_0402_1005Metric",187.940000,-64.060000,90.000000,top
"Q2","AO3400A","SOT-23",169.337500,-82.450000,0.000000,top
"R1","5k1","R_0402_1005Metric",159.000000,-75.200000,-90.000000,top
"R2","80","R_0402_1005Metric",160.350000,-69.300000,180.000000,top
"R3","80","R_0402_1005Metric",160.350000,-70.250000,180.000000,top
"R5","5k1","R_0402_1005Metric",159.000000,-64.800000,90.000000,top
"R6","10K","R_0402_1005Metric",188.390000,-59.745000,180.000000,top
"R11","18K","R_0402_1005Metric",176.740000,-60.660000,0.000000,top
"R12","10K","R_0402_1005Metric",173.680000,-82.200000,180.000000,top
"R17","2K","R_0402_1005Metric",176.730000,-61.640000,180.000000,top
"R18","47","R_0402_1005Metric",180.870000,-76.062500,90.000000,top
"R20","10K","R_0402_1005Metric",184.260000,-58.400000,0.000000,top
"R21","220","R_0402_1005Metric",183.870000,-76.062500,90.000000,top
"R22","1K","R_0402_1005Metric",180.825000,-79.550000,-90.000000,top
"R23","75","R_0402_1005Metric",183.875000,-79.500000,-90.000000,top
"R24","10K","R_0402_1005Metric",154.050000,-78.700000,90.000000,top
"R25","2.2K","R_0402_1005Metric",173.670000,-80.230000,180.000000,top
"R26","2.2K","R_0402_1005Metric",173.680000,-81.220000,180.000000,top
"R28","4.7K","R_0402_1005Metric",169.450000,-60.185000,90.000000,top
"R29","4.7K","R_0402_1005Metric",158.125000,-60.700000,90.000000,top
"R31","220","R_0402_1005Metric",165.453500,-79.040000,90.000000,top
"R32","5k1","R_0402_1005Metric",166.425000,-79.028500,90.000000,top
"R33","10K","R_0402_1005Metric",167.403500,-79.040000,-90.000000,top
"R34","1K","R_0402_1005Metric",169.702500,-79.790000,90.000000,top
"R35","10K","R_0402_1005Metric",168.750000,-79.775000,90.000000,top
"S2","EVQ-P7A01P","SW_EVQ-P7A01P",151.720000,-79.250000,-90.000000,top
"TP1","TestPoint","TestPoint_Pad_D1.0mm",178.680000,-61.045000,0.000000,top
"TP2","TestPoint","TestPoint_Pad_D1.0mm",178.650000,-63.090000,0.000000,top
"TP3","TestPoint","TestPoint_Pad_D1.0mm",163.170000,-73.380000,0.000000,top
"TP4","TestPoint","TestPoint_Pad_D1.0mm",163.210000,-75.480000,0.000000,top
"TP5","TestPoint","TestPoint_Pad_D1.0mm",162.000000,-54.500000,90.000000,top
"TP6","TestPoint","TestPoint_Pad_D1.0mm",164.000000,-54.500000,90.000000,top
"TP7","TestPoint","TestPoint_Pad_D1.0mm",166.000000,-54.500000,90.000000,top
"TP8","TestPoint","TestPoint_Pad_D1.0mm",168.000000,-54.500000,90.000000,top
"TP9","TestPoint","TestPoint_Pad_D1.0mm",170.000000,-54.500000,0.000000,top
"TP10","TestPoint","TestPoint_Pad_D1.0mm",172.000000,-54.500000,0.000000,top
"TP11","TestPoint","TestPoint_Pad_D2.0mm",174.750000,-54.500000,0.000000,top
"TP12","TestPoint","TestPoint_Pad_D2.0mm",177.750000,-54.500000,0.000000,top
"TP13","TestPoint","TestPoint_Pad_1.0x1.0mm",180.790000,-90.745000,90.000000,top
"TP14","TestPoint","TestPoint_Pad_1.0x1.0mm",178.390000,-90.745000,90.000000,top
"TP15","TestPoint","TestPoint_Pad_1.0x1.0mm",175.990000,-90.745000,90.000000,top
"TP16","TestPoint","TestPoint_Pad_1.0x1.0mm",173.590000,-90.755000,90.000000,top
"TP17","TestPoint","TestPoint_Pad_2.0x2.0mm",174.590000,-86.995000,90.000000,top
"TP18","TestPoint","TestPoint_Pad_1.0x1.0mm",177.790000,-86.995000,90.000000,top
"TP19","TestPoint","TestPoint_Pad_1.0x1.0mm",180.600000,-87.000000,90.000000,top
"TP20","TestPoint","TestPoint_Pad_D1.0mm",174.750000,-59.800000,-90.000000,top
"TP21","TestPoint","TestPoint_Pad_D1.0mm",172.725000,-59.825000,-90.000000,top
"TP23","TestPoint","TestPoint_Pad_1.0x1.0mm",159.000000,-87.000000,90.000000,top
"TP24","TestPoint","TestPoint_Pad_1.0x1.0mm",161.200000,-87.000000,90.000000,top
"TP25","TestPoint","TestPoint_Pad_1.0x1.0mm",163.400000,-87.000000,90.000000,top
"TP26","TestPoint","TestPoint_Pad_1.0x1.0mm",165.600000,-87.000000,90.000000,top
"TP27","TestPoint","TestPoint_Pad_1.0x1.0mm",164.390000,-90.760000,90.000000,top
"TP28","TestPoint","TestPoint_Pad_1.0x1.0mm",162.190000,-90.760000,90.000000,top
"TP29","TestPoint","TestPoint_Pad_1.0x1.0mm",188.400000,-81.600000,180.000000,top
"TP30","TestPoint","TestPoint_Pad_1.0x1.0mm",188.400000,-79.550000,180.000000,top
"TP31","TestPoint","TestPoint_Pad_2.0x2.0mm",188.400000,-77.600000,180.000000,top
"TP32","TestPoint","TestPoint_Pad_1.0x1.0mm",188.400000,-75.600000,180.000000,top
"TP33","TestPoint","TestPoint_Pad_1.0x1.0mm",188.390000,-73.540000,0.000000,top
"TP34","TestPoint","TestPoint_Pad_1.0x1.0mm",152.220000,-60.010000,0.000000,top
"TP35","TestPoint","TestPoint_Pad_1.0x1.0mm",152.185000,-62.160000,0.000000,top
"TP36","TestPoint","TestPoint_Pad_1.0x1.0mm",168.200000,-87.000000,90.000000,top
"TP36","TestPoint","TestPoint_Pad_1.0x1.0mm",159.865000,-90.725000,-90.000000,top
"TP37","TestPoint","TestPoint_Pad_2.0x2.0mm",171.195000,-87.010000,90.000000,top
"TP38","TestPoint","TestPoint_Pad_1.0x1.0mm",171.200000,-90.755000,-90.000000,top
"TP39","TestPoint","TestPoint_Pad_1.0x1.0mm",168.150000,-90.755000,-90.000000,top
"TP40","TestPoint","TestPoint_Pad_D1.0mm",151.000000,-54.400000,90.000000,top
"TP41","TestPoint","TestPoint_Pad_D1.0mm",155.000000,-50.600000,-90.000000,top
"TP42","TestPoint","TestPoint_Pad_D1.0mm",152.250000,-51.750000,0.000000,top
"TP43","TestPoint","TestPoint_Pad_D1.0mm",151.000000,-85.000000,0.000000,top
"TP44","TestPoint","TestPoint_Pad_D1.0mm",155.000000,-89.000000,0.000000,top
"TP45","TestPoint","TestPoint_Pad_D1.0mm",152.200000,-87.800000,0.000000,top
"TP46","TestPoint","TestPoint_Pad_D1.0mm",189.600000,-54.600000,0.000000,top
"TP47","TestPoint","TestPoint_Pad_D1.0mm",185.600000,-50.600000,0.000000,top
"TP48","TestPoint","TestPoint_Pad_D1.0mm",188.400000,-51.800000,0.000000,top
"TP49","TestPoint","TestPoint_Pad_D1.0mm",189.600000,-85.000000,0.000000,top
"TP50","TestPoint","TestPoint_Pad_D1.0mm",185.600000,-89.000000,0.000000,top
"TP51","TestPoint","TestPoint_Pad_D1.0mm",188.400000,-87.800000,0.000000,top
"U1","STM32F722RETx","LQFP-64_10x10mm_P0.5mm",173.350000,-69.365000,180.000000,top
"U2","BMP388","XDCR_BMP388",177.237500,-81.750000,-90.000000,top
"U5","ESP32-C3","QFN50P500X500X90-33N",184.200000,-62.000000,180.000000,top
"U7","W25Q256JVEIQ","IC_W25N04KVZEIR",163.800000,-60.600000,0.000000,top
"U10","USBLC6-2SC6","SOT-23-6",163.850000,-69.790000,0.000000,top
"Y2","C3E-40.000-10-1015-X-R","XTAL_C3E-40.000-10-1015-X-R",182.785000,-68.460000,0.000000,top
"Y3","C3E-8.000-18-3030-X-R","XTAL_C3E-8.000-18-3030-X-R",182.765000,-72.385000,0.000000,top
