"Value","Description","Reference","Footprint","Qty","MANUFACTURER","MANUFACTURER PART NUMBER","LCSC","Distributor Link","Datasheet"
"47uF","Unpolarized capacitor SMD 0805","C20,C22","Capacitor_SMD:C_0805_2012Metric","2","Samsung Electro-Mechanics","CL21A476MPYNNWE","C5596752","https://www.lcsc.com/product-detail/C5596752.html?spm=wm.fly.bg.2.xh___wm.fly.tp.3.ml&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C5596752.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.2.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdV1JXRlNfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"20","Resistor SMD 0402","R10,R13","Resistor_SMD:R_0402_1005Metric","2","YAGEO","RC0402FR-0720RL","C138031","https://www.lcsc.com/product-detail/C138031.html?spm=wm.fly.bg.0.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C138031.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"47","Resistor SMD 0402","R18","Resistor_SMD:R_0402_1005Metric","1","YAGEO","RC0402FR-0747RL","C137973","https://www.lcsc.com/product-detail/C137973.html?spm=wm.fly.bg.0.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C137973.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"75","Resistor SMD 0402","R23,R30,R38","Resistor_SMD:R_0402_1005Metric","3","YAGEO","RC0402JR-0775RL","C137841","https://www.lcsc.com/product-detail/C137841.html?spm=wm.fly.bg.11.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C137841.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.11.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"80","Resistor SMD 0402","R2,R3","Resistor_SMD:R_0402_1005Metric","2","YAGEO","RC0402FR-0780R6L","C185392","https://www.lcsc.com/product-detail/C185392.html?spm=wm.fly.bg.0.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C185392.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"220","Resistor SMD 0402","R21,R31","Resistor_SMD:R_0402_1005Metric","2","YAGEO","RC0402FR-07220RL","C112291","https://www.lcsc.com/product-detail/C112291.html?spm=wm.fly.bg.0.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C112291.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"1K","Resistor SMD 0402","R22,R34","Resistor_SMD:R_0402_1005Metric","2","YAGEO","RC0402FR-071KL","C106235","https://www.lcsc.com/product-detail/C106235.html?spm=wm.fly.bg.0.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C106235.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"2K","Resistor SMD 0402","R17","Resistor_SMD:R_0402_1005Metric","1","YAGEO","RC0402FR-072KL","C60488","https://www.lcsc.com/product-detail/C60488.html?spm=wm.fly.bg.0.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C60488.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"2.2K","Resistor SMD 0402","R25,R26","Resistor_SMD:R_0402_1005Metric","2","YAGEO","RC0402JR-072K2L","C163447","https://www.lcsc.com/product-detail/C163447.html?spm=wm.fly.bg.2.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C163447.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.2.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"3K92","Resistor SMD 0402","R9","Resistor_SMD:R_0402_1005Metric","1","YAGEO","RC0402FR-073K9L","C131467","https://www.lcsc.com/product-detail/C131467.html?spm=wm.fly.bg.2.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C131467.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.2.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"4.7K","Resistor SMD 0402","R27,R28,R29","Resistor_SMD:R_0402_1005Metric","3","YAGEO","RC0402FR-074K7L","C105871","https://www.lcsc.com/product-detail/C105871.html?spm=wm.fly.bg.0.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C105871.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"5k1","Resistor SMD 0402","R1,R5,R32","Resistor_SMD:R_0402_1005Metric","3","YAGEO","RC0402FR-075K1L","C105872","https://www.lcsc.com/product-detail/C105872.html?spm=wm.fly.bg.0.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C105872.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"7K5","Resistor SMD 0402","R15","Resistor_SMD:R_0402_1005Metric","1","UNI-ROYAL","0402WGF7501TCE","C25918","https://www.lcsc.com/product-detail/C25918.html?spm=wm.fly.bg.0.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C25918.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"10K","Resistor SMD 0402","R4,R6,R12,R20,R24,R33,R35","Resistor_SMD:R_0402_1005Metric","7","YAGEO","RC0402JR-0710KL","C60489","https://www.lcsc.com/product-detail/C60489.html?spm=wm.fly.bg.4.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C60489.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.4.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"18K","Resistor SMD 0402","R11","Resistor_SMD:R_0402_1005Metric","1","UNI-ROYAL","0402WGF1802TCE","C25762","https://www.lcsc.com/product-detail/C25762.html?spm=wm.fly.bg.0.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C25762.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"41K2","Resistor SMD 0402","R8,R16","Resistor_SMD:R_0402_1005Metric","2","VISHAY","CRCW040241K2FKED","C844310","https://www.lcsc.com/product-detail/C844310.html?spm=wm.fly.bg.0.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C844310.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"51K","Resistor SMD 0402","R7,R14","Resistor_SMD:R_0402_1005Metric","2","YAGEO","RC0402FR-0751KL","C107229","https://www.lcsc.com/product-detail/C107229.html?spm=wm.fly.bg.0.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C107229.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"1M","Resistor SMD 0402","R36,R37","Resistor_SMD:R_0402_1005Metric","2","YAGEO","RC0402JR-071ML","C93949","https://www.lcsc.com/product-detail/C93949.html?spm=wm.fly.bg.1.xh___wm.fly.dhl.mly.12-6-1&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C93949.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.1.xh&lcsc_vid=QQRbAQJREQJYUFQARlQPUgVXEgNcVgAFT1NfUwAERwAxVlNeR1NdVFVRRFhbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"120 Ohms @ 100 MHz","Ferrite Bead SMD 0402","FL1","Inductor_SMD:L_0402_1005Metric","1","TDK","MPZ1005S121CT000","C107331","https://www.lcsc.com/product-detail/C107331.html?s_z=n_q_t_ferrite%2520bead&spm=wm.fly.bg.3.xh___wm.ssy.tc.0.tz&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUV1VQlReVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlhbU1NTQ08GEwkK","https://www.lcsc.com/datasheet/C107331.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.3.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUV1VQlReVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlhbU1NTQ08GEwkK"
"220 Ohms @ 100 MHz","220 Ohms @ 100 MHz 1 Power Line Ferrite Bead 0402 (1608 Metric) 1.4A 100mOhm","FL2","Inductor_SMD:L_0402_1005Metric","1","muRata","BLM15BB221SN1D","C85818","https://www.lcsc.com/product-detail/C85818.html?s_z=n_q_t_ferrite%2520bead&spm=wm.fly.bg.1.xh___wm.ssy.tc.0.tz&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUV1VQlReVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlhbU1NTQ08GEwkK","https://www.lcsc.com/datasheet/C85818.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.1.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUV1VQlReVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlhbU1NTQ08GEwkK"
"2450AT43B100E","2.4GHz Bluetooth, Wi-Fi, WLAN Chip RF Antenna 2.4GHz ~ 2.5GHz 1.3dBi Solder Surface Mount","AT1","2450AT43B100E:ANTENNA_2450AT43B100E","1","Johanson Dielectrics","2450AT43B100E","C2917721","https://www.lcsc.com/product-detail/C2917721.html?s_z=s_p_2450AT43B100E&spm=wm.fly.bg.0.cbh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbVVdXRlVZUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C2917721.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.cbh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbVVdXRlVZUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"AT7456E","Video Character Overlay Chip (OSD)","IC1","AT7456E_KiCad:SOP65P640X120-29N","1","ZHONGKEWEI","AT7456E","C82351","https://www.lcsc.com/product-detail/C82351.html?s_z=s_p_t_AT7456E&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUFVfRVJZUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQFZfV1NIHxUDCw%3D%3D","https://www.lcsc.com/datasheet/C82351.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUFVfRVJZUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQFZfV1NIHxUDCw%3D%3D"
"ABM8-27.000MHZ-B2-T","27 MHz ±20ppm Crystal 18pF 50 Ohms 4-SMD, No Lead","Y1","ABM8-27.000MHZ-B2-T:XTAL_ABM8-27.000MHZ-B2-T","1","ABRACON","ABM8-27.000MHZ-B2-T","C1985251","https://www.lcsc.com/product-detail/C1985251.html?s_z=s_p_ABM8-27.000MHZ-B2-T&spm=wm.fly.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUFZQQFZdXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C1985251.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUFZQQFZdXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"AO3400A","30V Vds, 5.7A Id, N-Channel MOSFET, SOT-23","Q2","Package_TO_SOT_SMD:SOT-23","1","AOS","AO3400A","C20917","https://www.lcsc.com/product-detail/C20917.html?s_z=s_p_AO3400A&spm=wm.fly.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUFdVRlJeUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C20917.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUFdVRlJeUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"AP7361C-33FGE-7","1A LOW DROPOUT FIXED-MODE REGULATOR WITH ENABLE","U11","AP7361C-FGE-7:SON65P300X300X63-9N","1","Diodes Inc.","AP7361C-33FGE-7","C151007","https://www.lcsc.com/product-detail/C151007.html?s_z=s_p_AP7361C-33FGE-7&spm=wm.fly.bg.0.xh&lcsc_vid=FFRaV1dUQ1ZeAgEFEwIIA1AER1gKAQFXFVIMBQACQQAxVlNeR1JdV1VRRlRbVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C151007.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=FFRaV1dUQ1ZeAgEFEwIIA1AER1gKAQFXFVIMBQACQQAxVlNeR1JdV1VRRlRbVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"BAT54C","dual schottky barrier diode, common cathode","D8","Package_TO_SOT_SMD:SOT-23","1","onsemi","BAT54CLT1G","C14308","https://www.lcsc.com/product-detail/C14308.html?s_z=s_q_x_BAT54CLT1G&spm=wm.ssy.em.0.tz&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUFBQRldaVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C14308.pdf?spm=wm.sxq.inf.ggs___wm.ssy.em.0.tz&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUFBQRldaVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"BMP388","Pressure Sensor 4.35PSI ~ 18.13PSI (30kPa ~ 125kPa) Absolute - - 10-WFLGA","U2","BMP388:XDCR_BMP388","1","Bosch Sensortec","BMP388","C779278","https://www.lcsc.com/product-detail/C779278.html?s_z=s_p_x_BMP388&spm=wm.ssy.em.0.tz&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUFFXQlNfVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlVdV1xIHxUDCw%3D%3D","https://www.lcsc.com/datasheet/C779278.pdf?spm=wm.sxq.inf.ggs___wm.ssy.em.0.tz&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUFFXQlNfVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlVdV1xIHxUDCw%3D%3D"
"C3E-40.000-10-1015-X-R","Crystal, 3.20mm x2.50mm,40MHz,10pF,-40-85C","Y2","C3E-40.000-10-1015-X-R:XTAL_C3E-40.000-10-1015-X-R","1","YXC Crystal Oscillators","XL2EL89CPI-111YLC-40M","C5444549","https://www.lcsc.com/product-detail/C5444549.html?s_z=n_q_%2509%2520Crystal%252040MHz&spm=wm.fly.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUFJXRVddVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQlRYUFBeTk8GEwkK","https://www.lcsc.com/datasheet/C5444549.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUFJXRVddVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQlRYUFBeTk8GEwkK"
"C3E-8.000-18-3030-X-R","Crystal, 3.20mm x2.50mm,8MHz,18pF,-40-85C","Y3","C3E-8.000-18-3030-X-R:XTAL_C3E-8.000-18-3030-X-R","1","YXC Crystal Oscillators","X32258MOB4SI","C2682775","https://www.lcsc.com/product-detail/C2682775.html?s_z=n_q_8mhz%2520crystal&spm=wm.fly.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUFNeRVRbVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQlVaU1FSTk8GEwkK","https://www.lcsc.com/datasheet/C2682775.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbUFNeRVRbVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQlVaU1FSTk8GEwkK"
